name,thumb,link,description,img_link,,,,,,,,,,,,,,,,
AI2HTML,#NAME?,http://ai2html.org/,ai2html is an open-source script for Adobe Illustrator that converts your Illustrator documents into html and css.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2016/06/ai2html-290x179.png,,,,,,,,,,,,,,,,
ALTERYX,#NAME?,http://www.alteryx.com/,"Companies of all sizes realize the tremendous potential for data, but many struggle with turning that data into something they can take action upon, quickly enough for it to make a difference. Legacy approaches and tools for analytics have simply slowed them down even more. And, analysts in line of business departments such as sales, marketing, and finance are exhausting the capabilities of Microsoft Excel and other point solutions, and have grown tired of having to depend on data scientists and IT staff for data blending, analytics, and sharing of insight. With Alteryx these problems no longer slow an organization down. Analysts love Alteryx because it uniquely provides them with a single workflow for data blending, analytics, and reporting.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/Alteryx-290x174.png,,,,,,,,,,,,,,,,
ANIMAPS,#NAME?,http://www.animaps.com/#!home,"Animaps extends the My Maps feature of Google Maps by letting you create maps with markers that move, images and text that pop up on cue, and lines and shapes that change over time. When you send your Animap to friends it appears like a video - they can play, pause, slow and speed up the action!",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2016/06/Animaps-290x186.png,,,,,,,,,,,,,,,,
ANYCHART,#NAME?,http://www.anychart.com/,"Scalability, Performance, Individuality are just 3 of the key elements you'll find in our latest charting solution. Whether it's a single website application, enterprise visualization solution, or part of your Company's product offering you need to know your charting engine will be there for you and your customers. Large data sets and rendering performance have always been our strong suit. AnyChart JavaScript charting library is the definitive performance leader in the market today. Test us against any of our competitors and see how fast we are! Not only did we build the fastest, most robust Flash solution, we've also built the fastest performing, source code available, HTML5 JS solution, available in the market today!",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2016/06/AnyChart-290x168.png,,,,,,,,,,,,,,,,
APPS FOR EXCEL,#NAME?,https://store.office.com/search.aspx?productgroup=Excel&catfltr=13&category=Data%2BVisualization%2B%252b%2BBI,Microsoft's Office Apps provides a suite of free and paid-for plugins to extend the functionality of your office products. In particular there are a range of visualisation-related apps that can be explored to add new charting capability to Excel.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/AppExcel-290x174.png,,,,,,,,,,,,,,,,
ARBOR.JS,#NAME?,http://arborjs.org/,"Arbor is a graph visualization library built with web workers and jQuery. Rather than trying to be an all-encompassing framework, arbor provides an efficient, force-directed layout algorithm plus abstractions for graph organization and screen refresh handling.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Arbor-290x174.png,,,,,,,,,,,,,,,,
ARCGIS,#NAME?,http://www.esri.com/software/arcgis/arcgis-for-desktop,"ArcGIS is a range of powerful and versatile mapping tools from ESRI. The products allow you to integrate data layers onto maps, globes, and models on the desktop and serve them out for use on a desktop, in a browser, or in the field via mobile devices. For developers, ArcGIS gives you APIs for building rich, interactive applications using JavaScript, Flex, or Silverlight, embedding your applications into Web pages or launch stand-alone Web applications.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/ArcGIS-290x174.png,,,,,,,,,,,,,,,,
AXURE,#NAME?,http://www.axure.com/,"Axure RP is the standard in interactive wireframe software and gives you the power to quickly and easily deliver much more than typical mockup tools. Generate an interactive HTML website wireframe or UI mockup without coding. Then, send a link to clients or users to review. Or design an Android or iPhone app interface and view it right on your mobile device.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Azure-290x174.png,,,,,,,,,,,,,,,,
BALSAMIQ,#NAME?,http://www.balsamiq.com/products/mockups,"Why Balsamiq Mockups for wireframing? Using Mockups feels like drawing, but because it's digital, you can tweak and rearrange easily. Teams can come up with a design and iterate over it in real-time in the course of a meeting. Product managers, designers, developers, and even clients can now work together in the same tool to quickly iterate over wireframes, before writing code.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Balsamiq-290x174.png,,,,,,,,,,,,,,,,
BATCHGEO,#NAME?,http://batchgeo.com/,"We love maps, and we think they should be easy to make - that's why we made BatchGeo. It's the fastest way to create google maps from your data. It accepts addresses, intersections, cities, states, and postal codes. We do the hard work of figuring out where all your data lives in the real world.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Batchgeo-290x174.png,,,,,,,,,,,,,,,,
BEAKER,#NAME?,http://beakernotebook.com/,"Beaker is a code notebook that allows you to analyze, visualize, and document data using multiple programming languages including Python, R, Groovy, Julia, and Node. Beaker's plugin-based polyglot architecture enables you to seamlessly switch between languages and add support for new languages.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/Beaker-290x174.png,,,,,,,,,,,,,,,,
BIGML,#NAME?,https://bigml.com/,"Our goal is to make machine learning simple and beautiful. Our service can take the complexities out of creating a high-availability, low-latency Machine Learning system created especially for your data. You will not only gain valuable insights from your data, you will most likely enjoy it. From the developer, to the researcher, to the multinational corporation, BigML has something that can uncover the hidden predictive power of your data. BigML wants to make you the master of your data.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/BigML-290x174.png,,,,,,,,,,,,,,,,
BIGPICTURE,#NAME?,http://www.palisade.com/BigPicture/,"BigPicture is a diagramming software add-in for Microsoft Excel. With BigPicture, you can create mind maps to organize thoughts and ideas, or create dynamic maps from any type of spreadsheet data. BigPicture takes advantage of the fact that we humans are visual animals--mind maps and diagrams can help us grasp complicated information at a glance. Yet so much of the work we do relies on spreadsheets and data. BigPicture helps combine the power of both visuals and spreadsheets—all right in Excel.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2015/05/BigPicture-290x174.png,,,,,,,,,,,,,,,,
BLOCKSPRING,#NAME?,https://www.blockspring.com/,"We grow graphs. BlockSpring lets you build visualizations from the most innovative blocks developed by engineers within your organization, and from around the world. Need something awesome? Your engineering team or ours can build proprietary graphs just for you.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/blockspring-290x174.png,,,,,,,,,,,,,,,,
BONSAI.JS,#NAME?,http://bonsaijs.org/,Bonsai.js offers a lightweight graphics library with an intuitive graphics API and an SVG renderer.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/Bonsai-290x174.png,,,,,,,,,,,,,,,,
CARTO,#NAME?,https://carto.com/blog/welcome-to-carto-builder/,"CARTO is an open, powerful, and intuitive platform for discovering and predicting the key insights underlying the location data in our world. Empower organizations to optimize operational performance, strategic investments, and everyday decisions with CARTO Engine—our embeddable platform for web and mobile apps—and the new CARTO Builder, a drag and drop analysis tool that you can request your early access to today.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/CartoDB-290x174.png,,,,,,,,,,,,,,,,
CHART.JS,#NAME?,http://www.chartjs.org/,"Chart.js offers easy, object oriented client side graphs for designers and developers. You can visualise your data in 6 different ways, with each chart type animated, fully customisable and great-looking, even on retina displays. Chart.js uses the HTML5 canvas element, supports all modern browsers and is dependency free, lightweight with loads of customisation options.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Chart-290x174.png,,,,,,,,,,,,,,,,
CHARTBUILDER,#NAME?,https://quartz.github.io/Chartbuilder/,A front-end charting application that facilitates easy creation of simple beautiful charts,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2016/06/Chartbuilder-290x167.png,,,,,,,,,,,,,,,,
CHARTED,#NAME?,http://www.charted.co/,"Charted is a tool for automatically visualizing data, created by the Product Science team at Medium. Give it the link to a data file and Charted returns a beautiful, shareable chart of the data.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2015/05/Charted-290x174.png,,,,,,,,,,,,,,,,
CHARTLR,#NAME?,https://chartlr.com/,"Create your charts the easy way. Chartlr makes it really easy to import your spreadsheet data, choose a chart or graph type, apply your favorite design settings to your chart and export it as a PNG, SVG or PDF.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2015/05/Chartlr-290x174.png,,,,,,,,,,,,,,,,
CHARTSBIN,#NAME?,http://chartsbin.com/,"ChartsBin is a web-based data visualization tool that will allow everyone to quickly and easily create rich interactive visualizations with their own data. You can then share your interactive visualizations with others by embedding them in websites, blogs or sharing via Facebook or Twitter. We're focused on building the most exciting and engaging destination for statisticians, and computer scientists in the world.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/ChartsBin-290x174.png,,,,,,,,,,,,,,,,
CHECKMYCOLORS,#NAME?,http://www.checkmycolours.com/,CheckMyColours is a tool for checking foreground and background color combinations of all DOM elements and determining if they provide sufficient contrast when viewed by someone having color deficits.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Checkmycolours-290x174.png,,,,,,,,,,,,,,,,
CHROMA.JS,#NAME?,https://github.com/gka/chroma.js,Chroma.js is a JavaScript library for working with colors in visualizations. In contrast to many similar libraries it supports advanced color models like CIE Lab and Hue-Chroma-Lightness which are helpful to overcome the traps of equidis_tant HSV col_ors. Also it includes support for color scales and the beautiful palettes by Cynthia Brewer.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/chromajs-290x174.png,,,,,,,,,,,,,,,,
CIRCOS,#NAME?,http://circos.ca/,"Circos is a software package for visualizing data and information. It visualizes data in a circular layout — this makes Circos ideal for exploring relationships between objects or positions. There are other reasons why a circular layout is advantageous, not the least being the fact that it is attractive. Circos is ideal for creating publication-quality infographics and illustrations with a high data-to-ink ratio, richly layered data and pleasant symmetries. You have fine control each element in the figure to tailor its focus points and detail to your audience.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Circos-290x174.png,,,,,,,,,,,,,,,,
CLOSR.IT,#NAME?,https://www.closr.it/,"ClosR is a simple way to quick publish, display, share and embed designed images or graphics online. It is especially useful for those works that are large in size as ClosR provides a simple zoomable platform to let users explore your images.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Closr-290x174.png,,,,,,,,,,,,,,,,
CLOUDSTITCH,#NAME?,https://www.cloudstitch.com/d3-in-a-box,"D3 in a Box: Package a D3 visualization for easy data editing and deployment. Store your data in a Google Spreadsheet. We serve it up fast! Archive and reuse, We keep your visualization in a container you can share. Deploy anywhere - We host your widget as an HTML5 Web Component.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2016/06/Cloudstitch-290x176.png,,,,,,,,,,,,,,,,
CMAPS ANALYTICS,#NAME?,http://cmapsanalytics.com/cmapsanalytics/designer/,"Point and click maps design with unlimited possibilities for location based analysis. CMaps Designer provides rapid creation of maps without any server software or specialized skills required. Create drillable regional views, drive-time analysis and other visualizations on top of a consumer friendly Google Maps for Work. Use CMaps Analytics platform to integrate location intelligence within any HTML5 or Mobile App, anywhere (on-premise or cloud).",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2015/05/CMapsAnalytics-290x175.png,,,,,,,,,,,,,,,,
CODEFLOWER,#NAME?,http://redotheweb.com/CodeFlower/,"CodeFlower is an experiment that visualizes source repositories using an interactive tree. Each disc represents a file, with a radius proportional to the number of lines of code (loc). All rendering is done client-side, in JavaScript. It is built with d3.js and inspired by Code Swarm and Gource.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Codeflower-290x174.png,,,,,,,,,,,,,,,,
COLOR BY HAILPIXEL,#NAME?,http://color.hailpixel.com/,"Move back and forth, up and down and scroll around the screen to build a colour palette.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/hailpixel-290x174.png,,,,,,,,,,,,,,,,
COLOR CALCULATOR,#NAME?,http://www.sessions.edu/color-calculator,"The free Color Calculator to explore creative color options for your design project. Simply pick your base color(s), choose a color harmony, tweak/explore as needed, and see results. You'll get a report of the hex, RGB, and CMYK color values for your project and see your colors applied to design samples. Share or print, rinse and repeat.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2015/05/ColorCalculator-290x174.png,,,,,,,,,,,,,,,,
COLOR ORACLE,#NAME?,http://colororacle.org/,"Color Oracle is a free color blindness simulator for Window, Mac and Linux. It takes the guesswork out of designing for color blindness by showing you in real time what people with common color vision impairments will see.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Oracle-290x174.png,,,,,,,,,,,,,,,,
COLOR.METHOD,#NAME?,http://color.method.ac/,A color matching game.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/ColorMethod-290x174.png,,,,,,,,,,,,,,,,
COLORBREWER 2.0,#NAME?,http://colorbrewer2.org/,"Colorbrewer 2.0 is an online tool designed to helppeople select good color schemes for maps and other graphics.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/ColorBrewer-290x174.png,,,,,,,,,,,,,,,,
COLORDOT,#NAME?,https://color.hailpixel.com/,"With Colordot it is much easier to generate a consistent web color palette with just a few clicks. You should use colors consistently, so you have a common look and feel throughout your design. All the alternative proposals produced by Colordot derive from the same color and they all have a common denominator sharing hue, lightness or saturation values. This tool will let you find the exact value of darker shades of any color, not just something that 'looks darker'. That will be a huge step towards professionally looking design.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/colllor-290x174.png,,,,,,,,,,,,,,,,
COLOREXPLORER,#NAME?,http://colorexplorer.com/,"Simply put, ColorExplorer is an online toolbox for working with color palettes. Being a little more elaborate, the current site is the result of evolvement on my acclaimed ColorMatch 5K project dating back as far as 2001. With ColorExplorer you can quickly and easily create, manage and evaluate color palettes for use in graphic design, web designs, layouts, and much more.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/ColorExplorer-290x174.png,,,,,,,,,,,,,,,,
COLOURLOVERS,#NAME?,http://www.colourlovers.com/,"COLOURlovers is a creative community where people from around the world create and share colors, palettes and patterns, discuss the latest trends and explore colorful articles... All in the spirit of love.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/ColourLovers-290x174.png,,,,,,,,,,,,,,,,
COLOURS ACROSS CULTURES,#NAME?,http://globalpropaganda.com/articles/TranslatingColours.pdf,Translating Colours in Interactive Marketing Communications. A useful (pdf) report that breaks down the cultural and country-specific responses to and meaning associated with a range of colours.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/GlobalProp-290x174.png,,,,,,,,,,,,,,,,
CREATELY,#NAME?,http://creately.com/Draw-Venn-Diagrams-Online,"Quickly create Venn diagrams and Euler diagrams with easy to use web based tools. Includes Venn diagram templates to get started quickly, the ability to export Venn diagrams as image files or pdf files and easy styling options to add color and clarity to diagrams.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/Creately-290x174.png,,,,,,,,,,,,,,,,
CUBE,#NAME?,http://corner.squareup.com/2011/09/cube.html,"Cube is an open-source system for visualizing time series data, built on MongoDB, Node and D3. If you send Cube timestamped events (with optional structured data), you can easily build realtime visualizations of aggregate metrics. For example, you might use Cube to monitor traffic to your website, counting requests:",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Cube-290x174.png,,,,,,,,,,,,,,,,
CUBISM,#NAME?,http://square.github.io/cubism/,"Cubism.js is a D3 plugin for visualizing time series. Use Cubism to construct better realtime dashboards, pulling data from Graphite, Cube and other sources. Cubism is available under the Apache License on GitHub.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Cubism-290x174.png,,,,,,,,,,,,,,,,
CYTOSCAPE,#NAME?,http://www.cytoscape.org/,"Cytoscape is an open source software platform for visualizing complex networks and integrating these with any type of attribute data. A lot of Apps are available for various kinds of problem domains, including bioinformatics, social network analysis, and semantic web.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/Cytoscape-290x174.png,,,,,,,,,,,,,,,,
D3 DECONSTRUCTOR,#NAME?,http://ucbvislab.github.io/d3-deconstructor/,"The D3 Deconstructor is a Google Chrome extension for extracting data from D3.js visualizations. D3 binds data to DOM elements when building a visualization. Our D3 Deconstructor extracts this data and the visual mark attributes (such as position, width, height, and color) for each element in a D3 visualization.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2015/05/D3Deconstructor-290x174.png,,,,,,,,,,,,,,,,
D3 PLUS,#NAME?,http://d3plus.org/,D3plus is an extension to the D3 library that allows fast and easy creation of data visualizations.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/D3plus-290x174.png,,,,,,,,,,,,,,,,
D3.JS,#NAME?,http://d3js.org/,"D3 is arguably the most dominant and important programming library for creating dynamic, interactive visaulisations. Created by Mike Bostock, who also works at the New York Times, D3.js is a JavaScript library for manipulating documents based on data. D3 helps you bring data to life using HTML, SVG and CSS. D3’s emphasis on web standards gives you the full capabilities of modern browsers without tying yourself to a proprietary framework, combining powerful visualization components and a data-driven approach to DOM manipulation.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/D3-290x174.png,,,,,,,,,,,,,,,,
D4,#NAME?,http://visible.io/,D4 is a friendly charting DSL for D3. The goal of D4 is to allow developers to quickly build data-driven charts with little knowledge of the internals of D3.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/D4-290x174.png,,,,,,,,,,,,,,,,
DATA APPEAL,#NAME?,http://dataappeal.com/,"Grounded in Nadia Amoroso’s research, DataAppeal helps organizations unlock their data stores and democratize evidence-based decision making. Through concepts of art and design, DataAppeal quickly increases user interest in information. DataAppeal’s ‘artwork’ makes the use of data more palatable, thus creating greater knowledge transfer within the organization, quicker and higher quality decision support, and most importantly a decentralized model of data analysis.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/DataAppeal-290x174.png,,,,,,,,,,,,,,,,
DATA GRAPH,#NAME?,http://www.visualdatatools.com/DataGraph/,"DataGraph is a simple and powerful graphing application for Mac OS X. It is a great companion for Excel, Numbers or any of the big statistical packages. Simple because it is very easy to draw plots, bar graphs, and fit functions. Start typing in data and the graph immediately shows up. Pick from the initial template list and modify the data, change colors, resize easily and interactively.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/DataGraph-290x174.png,,,,,,,,,,,,,,,,
DATA HERO,#NAME?,https://datahero.com/,"With Data Hero you can do more with your data. Quickly and easily get answers to your data question. No IT. No business analyst. Just you and a few clicks. Simply upload your Excel spreadsheets or connect directly to the services you use every day and DataHero does the rest. DataHero's powerful Data Decoder analyzes your data and shows you relevant visualizations and key insights. From there, simply drag-and-drop to filter and refine your charts, then share them with your colleagues and be the hero!",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Datahero-290x174.png,,,,,,,,,,,,,,,,
DATA SCIENCE TOOLKIT,#NAME?,http://www.datasciencetoolkit.org,The Data Science Toolkit provides a range of open-source tools for data scientists assembled by Pete Warden.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/DSTK-290x174.png,,,,,,,,,,,,,,,,
DATABASIC,#NAME?,https://www.databasic.io/en/,"DataBasic is a suite of easy-to-use web tools for beginners that introduce concepts of working with data. These simple tools make it easy to work with data in fun ways, so you can learn how to find great stories to tell. WordCounter analyzes your text and tells you the most common words and phrases. WTFcsv tells you WTF is going on with your .csv file. SameDiff compares two or more text files and tells you how similar or different they are.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2016/06/DataBasic-290x173.png,,,,,,,,,,,,,,,,
DATABIN,#NAME?,http://databin.pudo.org/,Databin helps you to share tabular data — a few rows from Excel or a result from a SQL prompt — with others.,http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/databin-290x174.png,,,,,,,,,,,,,,,,
DATACOPIA,#NAME?,http://www.datacopia.com/,"Creating charts is easy. Creating good charts is tough. Yes, Excel makes it look easy: select some data",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/Datacopia-290x174.png,,and voila - you have your chart. But have you ended up with the chart that is going to best convey your ideas to other people? Our goal at Datacopia is to eliminate this arbitrary decision-making process. We believe the data should speak for itself. Anyone should be able to quickly turn an opaque table of data into the most representative and informative graphics possible — without needing a degree in data science!,,,,,,,,,,,,,,
DATAIKU DSS,#NAME?,http://www.dataiku.com/dss/,"Data Science Studio (DSS) is a software platform that aggregates all the steps and big data tools necessary to get from raw data to production ready applications. It shortens the load-prepare-test-deploy cycles required to create data driven applications. Thanks to its visual and interactive workspace, it is accessible to both Data Scientists and Business Analysts.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/DSS-290x173.png,,,,,,,,,,,,,,,,
DATAPAD,#NAME?,http://www.datapad.io/,"DataPad helps you integrate, analyze, and distribute your data. Improve user acquisition, customer engagement, retention or any other metric that matters to your team.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/09/Datapad-290x174.png,,,,,,,,,,,,,,,,
DATASEED,#NAME?,https://getdataseed.com/,"Dataseed creates interactive dashboard-style visualisations. The charts are simple and clear, with slick animated transitions that are responsively designed to work on desktop, tablet and mobile. You can drag in spreadsheets and visually explore the data within minutes, or you can use the API and open-source toolkit to embed Dataseed analytics within other products.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2016/06/Dataseed-290x174.png,,,,,,,,,,,,,,,,
DATATABLES,#NAME?,http://datatables.net/,"DataTables is a plug-in for the jQuery Javascript library. It is a highly flexible tool, based upon the foundations of progressive enhancement, which will add advanced interaction controls to any HTML table.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Datatables-290x174.png,,,,,,,,,,,,,,,,
DATAWRAPPER,#NAME?,http://datawrapper.de/,"Datawrapper is an open source tool helping anyone to create simple, correct and embeddable charts in minutes. It is easy to use, gives you full control and is entirely customisable.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2014/08/Datawrapper-290x174.png,,,,,,,,,,,,,,,,
DATYLON,#NAME?,http://datylon.com/,"Datylon helps designers to easily create beautiful artwork with on-brand charts and maps. Data analysts can focus on their work and deliver their data insights in formats that can be readily used in story templates. The resulting data stories can be shared and embedded on the web or in applications whereby developers can add interactivity. Data stories come in many flavors. Use Datylon’s plug-in for Adobe© Illustrator™ to add JavaScript-created SVG charts and maps to static reports, dynamic infographics, dashboards or even full-fledged online interactive data stories. Publish your work to Datylon’s online platform for viewing, editing, sharing and embedding.",http://visualisingdatazone.visualisingdatal.netdna-cdn.com/wp-content/uploads/2016/06/Datylon-290x181.png,,,,,,,,,,,,,,,,
